"","Subject","Word","RT","BaseFrequency","GenderCode","RT_raw_ms","RT_raw_s"
"1","pp1","basaalheid",6.69,3.56,1,804.322252143982,0.804322252143982
"2","pp1","markantheid",6.81,5.16,1,906.870806947572,0.906870806947572
"3","pp1","ontroerdheid",6.51,5.55,1,671.826417591094,0.671826417591094
"4","pp1","contentheid",6.58,4.5,1,720.53932924916,0.72053932924916
"5","pp1","riantheid",6.86,4.53,1,953.367067491184,0.953367067491184
"6","pp1","tembaarheid",6.35,0,1,572.492709013671,0.572492709013671
"7","pp1","onattentheid",6.69,1.61,1,804.322252143982,0.804322252143982
"8","pp1","bebrildheid",7.17,3.61,1,1299.84460280403,1.29984460280403
"9","pp1","geurloosheid",6.58,2.56,1,720.53932924916,0.72053932924916
"10","pp1","ovaalheid",6.98,5.86,1,1074.91836699577,1.07491836699577
"11","pp1","erkendheid",6.38,6.52,1,589.927707658469,0.589927707658469
"12","pp1","coulantheid",6.67,1.79,1,788.395604462632,0.788395604462632
"13","pp1","labielheid",6.71,4.38,1,820.570639450628,0.820570639450628
"14","pp1","visrijkheid",6.54,3.04,1,692.286578036492,0.692286578036492
"15","pp1","ondiepheid",6.32,5.66,1,555.572992451403,0.555572992451403
"16","pp1","onwelheid",7,3.97,1,1096.63315842846,1.09663315842846
"17","pp1","blusbaarheid",6.74,0,1,845.560735851037,0.845560735851037
"18","pp1","tilbaarheid",6.55,0,1,699.244173815885,0.699244173815885
"19","pp1","gammelheid",6.55,4.91,1,699.244173815885,0.699244173815885
"20","pp1","koketheid",6.85,4.79,1,943.880906671578,0.943880906671578
"21","pp1","ludiekheid",6.8,4.14,1,897.847291650418,0.897847291650418
"22","pp1","banaalheid",6.95,5.74,1,1043.1497281803,1.0431497281803
"23","pp1","bezweetheid",6.45,4.75,1,632.702292812254,0.632702292812254
"24","pp1","beschutheid",6.57,4.79,1,713.369843132868,0.713369843132868
"25","pp1","antiekheid",6.98,6.75,1,1074.91836699577,1.07491836699577
"26","pp1","pitloosheid",6.69,0,1,804.322252143982,0.804322252143982
"27","pp1","kalkrijkheid",7.07,3.14,1,1176.14803424917,1.17614803424917
"28","pp1","onbelastheid",6.58,3.18,1,720.53932924916,0.72053932924916
"29","pp1","beuheid",7.11,5.07,1,1224.14754609174,1.22414754609174
"30","pp1","dementheid",6.48,3.83,1,651.970946271172,0.651970946271172
"31","pp1","royaalheid",6.69,6.09,1,804.322252143982,0.804322252143982
"32","pp10","enormheid",6.17,8.42,1,478.186106089261,0.478186106089261
"33","pp10","markantheid",6.14,5.16,1,464.053570859276,0.464053570859276
"34","pp10","ontroerdheid",6.08,5.55,1,437.029194718391,0.437029194718391
"35","pp10","contentheid",6.61,4.5,1,742.483018716623,0.742483018716623
"36","pp10","riantheid",6.2,4.53,1,492.749041093256,0.492749041093256
"37","pp10","tembaarheid",6.44,0,1,626.406799811489,0.626406799811489
"38","pp10","onattentheid",6.69,1.61,1,804.322252143982,0.804322252143982
"39","pp10","bebrildheid",6.46,3.61,1,639.061056569553,0.639061056569553
"40","pp10","aftandsheid",6.98,4.2,1,1074.91836699577,1.07491836699577
"41","pp10","geurloosheid",6.3,2.56,1,544.571910125929,0.544571910125929
"42","pp10","ovaalheid",6.42,5.86,1,614.003114125552,0.614003114125552
"43","pp10","erkendheid",6.19,6.52,1,487.846106214441,0.487846106214441
"44","pp10","coulantheid",6.5,1.79,1,665.141633044362,0.665141633044362
"45","pp10","tilbaarheid",6.97,0,1,1064.22275053809,1.06422275053809
"46","pp10","gammelheid",6.98,4.91,1,1074.91836699577,1.07491836699577
"47","pp10","pipsheid",6.87,3.33,1,962.948565812014,0.962948565812014
"48","pp10","banaalheid",6.3,5.74,1,544.571910125929,0.544571910125929
"49","pp10","bezweetheid",6.19,4.75,1,487.846106214441,0.487846106214441
"50","pp10","beschutheid",6.5,4.79,1,665.141633044362,0.665141633044362
"51","pp10","pitloosheid",6.2,0,1,492.749041093256,0.492749041093256
"52","pp10","kortafheid",6.33,5.87,1,561.156593852991,0.561156593852991
"53","pp10","dementheid",6.68,3.83,1,796.319112015905,0.796319112015905
"54","pp10","royaalheid",6.51,6.09,1,671.826417591094,0.671826417591094
"55","pp11","riantheid",6.41,4.53,1,607.893681061474,0.607893681061474
"56","pp11","ovaalheid",6.43,5.86,1,620.173948012713,0.620173948012713
"57","pp11","aftandsheid",7.21,4.2,1,1352.89226737426,1.35289226737426
"58","pp11","tactvolheid",6.59,4.75,1,727.780869898828,0.727780869898828
"59","pp11","tembaarheid",6.39,0,1,595.856579688016,0.595856579688016
"60","pp11","summierheid",6.88,5.3,1,972.626359791884,0.972626359791884
"61","pp11","tilbaarheid",6.89,0,1,982.401417218259,0.982401417218259
"62","pp11","pitloosheid",6.41,0,1,607.893681061474,0.607893681061474
"63","pp11","labielheid",6.43,4.38,1,620.173948012713,0.620173948012713
"64","pp11","contentheid",6.22,4.5,1,502.703232020239,0.502703232020239
"65","pp11","saprijkheid",6.92,0,1,1012.31999453492,1.01231999453492
"66","pp11","dementheid",6.34,3.83,1,566.796311381596,0.566796311381596
